year,round,from_country,to_country,televote_rank,jury_rank,juror_A,juror_B,juror_C,juror_D,juror_E,juror_F,juror_G
2016,semi-final-1,Armenia,Austria,6,16,12,16,14,16,14,,
2016,semi-final-1,Armenia,Azerbaijan,17,17,17,17,17,17,17,,
2016,semi-final-1,Armenia,Bosnia & Herzegovina,10,10,11,13,10,14,10,,
2016,semi-final-1,Armenia,Croatia,8,9,8,8,7,11,9,,
2016,semi-final-1,Armenia,Cyprus,3,15,14,12,13,15,12,,
2016,semi-final-1,Armenia,Czechia,9,6,5,11,5,5,5,,
2016,semi-final-1,Armenia,Estonia,12,14,10,14,11,12,15,,
2016,semi-final-1,Armenia,Finland,13,3,4,4,3,6,3,,
2016,semi-final-1,Armenia,Greece,4,8,7,9,9,10,7,,
2016,semi-final-1,Armenia,Hungary,5,12,16,5,16,8,16,,
2016,semi-final-1,Armenia,Iceland,14,11,13,10,12,13,11,,
2016,semi-final-1,Armenia,Malta,2,1,1,1,1,1,1,,
2016,semi-final-1,Armenia,Moldova,15,5,6,6,6,4,6,,
2016,semi-final-1,Armenia,Montenegro,16,2,2,2,2,2,2,,
2016,semi-final-1,Armenia,Netherlands,7,7,9,7,8,9,8,,
2016,semi-final-1,Armenia,Russia,1,4,3,3,4,7,4,,
2016,semi-final-1,Armenia,San Marino,11,13,15,15,15,3,13,,
2016,semi-final-1,Austria,Armenia,7,6,2,7,6,9,4,,
2016,semi-final-1,Austria,Azerbaijan,12,7,10,6,9,3,9,,
2016,semi-final-1,Austria,Bosnia & Herzegovina,1,12,11,15,13,2,15,,
2016,semi-final-1,Austria,Croatia,5,4,3,5,8,4,7,,
2016,semi-final-1,Austria,Cyprus,9,13,16,13,12,10,11,,
2016,semi-final-1,Austria,Czechia,10,2,9,2,4,5,1,,
2016,semi-final-1,Austria,Estonia,16,10,4,12,10,8,10,,
2016,semi-final-1,Austria,Finland,14,9,6,8,2,13,12,,
2016,semi-final-1,Austria,Greece,11,17,15,17,16,17,17,,
2016,semi-final-1,Austria,Hungary,3,11,8,9,15,12,8,,
2016,semi-final-1,Austria,Iceland,8,8,12,10,5,7,5,,
2016,semi-final-1,Austria,Malta,13,1,5,1,1,1,2,,
2016,semi-final-1,Austria,Moldova,15,14,14,14,14,14,13,,
2016,semi-final-1,Austria,Montenegro,17,16,17,16,11,15,16,,
2016,semi-final-1,Austria,Netherlands,2,5,1,3,7,11,6,,
2016,semi-final-1,Austria,Russia,4,3,7,4,3,6,3,,
2016,semi-final-1,Austria,San Marino,6,15,13,11,17,16,14,,
2016,semi-final-1,Azerbaijan,Armenia,14,17,17,17,17,17,17,,
2016,semi-final-1,Azerbaijan,Austria,5,14,14,12,13,14,14,,
2016,semi-final-1,Azerbaijan,Bosnia & Herzegovina,6,2,3,2,2,1,1,,
2016,semi-final-1,Azerbaijan,Croatia,12,11,10,13,10,9,13,,
2016,semi-final-1,Azerbaijan,Cyprus,10,16,16,16,15,15,16,,
2016,semi-final-1,Azerbaijan,Czechia,8,9,9,10,11,11,9,,
2016,semi-final-1,Azerbaijan,Estonia,9,10,11,9,9,12,10,,
2016,semi-final-1,Azerbaijan,Finland,17,12,13,11,14,10,11,,
2016,semi-final-1,Azerbaijan,Greece,11,5,7,5,6,5,5,,
2016,semi-final-1,Azerbaijan,Hungary,4,3,2,4,3,3,4,,
2016,semi-final-1,Azerbaijan,Iceland,15,13,12,14,12,13,12,,
2016,semi-final-1,Azerbaijan,Malta,3,7,6,8,7,6,8,,
