year,round,from_country_id,to_country_id,from_country,to_country,total_points,tele_points,jury_points
2008,final,al,ru,al,ru,6,,
2008,final,al,ua,al,ua,8,,
2008,final,al,gr,al,gr,12,,
2008,final,al,am,al,am,2,,
2008,final,al,no,al,no,7,,
2008,final,al,rs,al,rs,5,,
2008,final,al,tr,al,tr,10,,
2008,final,al,az,al,az,0,,
2008,final,al,il,al,il,4,,
2008,final,al,ba,al,ba,0,,
2008,final,al,ge,al,ge,0,,
2008,final,al,lv,al,lv,0,,
2008,final,al,pt,al,pt,0,,
2008,final,al,is,al,is,0,,
2008,final,al,dk,al,dk,0,,
2008,final,al,es,al,es,1,,
2008,final,al,al,al,al,0,,
2008,final,al,se,al,se,3,,
2008,final,al,fr,al,fr,0,,
2008,final,al,ro,al,ro,0,,
2008,final,al,hr,al,hr,0,,
2008,final,al,fi,al,fi,0,,
2008,final,al,de,al,de,0,,
2008,final,al,pl,al,pl,0,,
2008,final,al,gb,al,gb,0,,
2008,final,ad,ru,ad,ru,5,,
2008,final,ad,ua,ad,ua,6,,
2008,final,ad,gr,ad,gr,8,,
2008,final,ad,am,ad,am,0,,
2008,final,ad,no,ad,no,1,,
2008,final,ad,rs,ad,rs,0,,
2008,final,ad,tr,ad,tr,0,,
2008,final,ad,az,ad,az,7,,
2008,final,ad,il,ad,il,0,,
2008,final,ad,ba,ad,ba,0,,
2008,final,ad,ge,ad,ge,0,,
2008,final,ad,lv,ad,lv,2,,
2008,final,ad,pt,ad,pt,10,,
2008,final,ad,is,ad,is,0,,
2008,final,ad,dk,ad,dk,0,,
2008,final,ad,es,ad,es,12,,
2008,final,ad,al,ad,al,0,,
2008,final,ad,se,ad,se,0,,
2008,final,ad,fr,ad,fr,3,,
2008,final,ad,ro,ad,ro,0,,
2008,final,ad,hr,ad,hr,0,,
2008,final,ad,fi,ad,fi,4,,
2008,final,ad,de,ad,de,0,,
2008,final,ad,pl,ad,pl,0,,
2008,final,ad,gb,ad,gb,0,,
2008,final,am,ru,am,ru,12,,
2008,final,am,ua,am,ua,5,,
2008,final,am,gr,am,gr,8,,
2008,final,am,am,am,am,0,,
2008,final,am,no,am,no,7,,
2008,final,am,rs,am,rs,3,,
2008,final,am,tr,am,tr,0,,
2008,final,am,az,am,az,0,,
2008,final,am,il,am,il,6,,
2008,final,am,ba,am,ba,0,,
2008,final,am,ge,am,ge,10,,
2008,final,am,lv,am,lv,0,,
2008,final,am,pt,am,pt,0,,
2008,final,am,is,am,is,0,,
2008,final,am,dk,am,dk,0,,
2008,final,am,es,am,es,1,,
2008,final,am,al,am,al,0,,
2008,final,am,se,am,se,0,,
2008,final,am,fr,am,fr,4,,
2008,final,am,ro,am,ro,0,,
2008,final,am,hr,am,hr,2,,
2008,final,am,fi,am,fi,0,,
2008,final,am,de,am,de,0,,
2008,final,am,pl,am,pl,0,,
2008,final,am,gb,am,gb,0,,
2008,final,az,ru,az,ru,8,,
2008,final,az,ua,az,ua,10,,
2008,final,az,gr,az,gr,6,,
2008,final,az,am,az,am,0,,
2008,final,az,no,az,no,5,,
2008,final,az,rs,az,rs,2,,
2008,final,az,tr,az,tr,12,,
2008,final,az,az,az,az,0,,
2008,final,az,il,az,il,7,,
2008,final,az,ba,az,ba,3,,
2008,final,az,ge,az,ge,4,,
2008,final,az,lv,az,lv,0,,
2008,final,az,pt,az,pt,0,,
2008,final,az,is,az,is,0,,
2008,final,az,dk,az,dk,0,,
2008,final,az,es,az,es,0,,
2008,final,az,al,az,al,1,,
2008,final,az,se,az,se,0,,
2008,final,az,fr,az,fr,0,,
